Hb_mean_channel_1,Hb_std_channel_1,Hb_mean_channel_2,Hb_std_channel_2,Hb_mean_channel_3,Hb_std_channel_3,Hb_mean_channel_4,Hb_std_channel_4,Hb_mean_channel_5,Hb_std_channel_5,Hb_mean_channel_6,Hb_std_channel_6,Hb_mean_channel_7,Hb_std_channel_7,Hb_mean_channel_8,Hb_std_channel_8,Hb_mean_channel_9,Hb_std_channel_9,Hb_mean_channel_10,Hb_std_channel_10,Hb_mean_channel_11,Hb_std_channel_11,Hb_mean_channel_12,Hb_std_channel_12,Hb_mean_channel_13,Hb_std_channel_13,Hb_mean_channel_14,Hb_std_channel_14,Hb_mean_channel_15,Hb_std_channel_15,Hb_mean_channel_16,Hb_std_channel_16,Hb_mean_channel_17,Hb_std_channel_17,Hb_mean_channel_18,Hb_std_channel_18,Hb_mean_channel_19,Hb_std_channel_19,Hb_mean_channel_20,Hb_std_channel_20,Condition,Participant,HbO_mean_channel_1,HbO_std_channel_1,HbO_mean_channel_2,HbO_std_channel_2,HbO_mean_channel_3,HbO_std_channel_3,HbO_mean_channel_4,HbO_std_channel_4,HbO_mean_channel_5,HbO_std_channel_5,HbO_mean_channel_6,HbO_std_channel_6,HbO_mean_channel_7,HbO_std_channel_7,HbO_mean_channel_8,HbO_std_channel_8,HbO_mean_channel_9,HbO_std_channel_9,HbO_mean_channel_10,HbO_std_channel_10,HbO_mean_channel_11,HbO_std_channel_11,HbO_mean_channel_12,HbO_std_channel_12,HbO_mean_channel_13,HbO_std_channel_13,HbO_mean_channel_14,HbO_std_channel_14,HbO_mean_channel_15,HbO_std_channel_15,HbO_mean_channel_16,HbO_std_channel_16,HbO_mean_channel_17,HbO_std_channel_17,HbO_mean_channel_18,HbO_std_channel_18,HbO_mean_channel_19,HbO_std_channel_19,HbO_mean_channel_20,HbO_std_channel_20,Cluster,Workload
-0.000106311,0.00019166,6.28e-05,0.000167558,7.56e-05,0.000152041,-0.000166177,0.000251636,0.001470944,0.000682829,3.26e-05,0.000207935,-0.0001285,0.00013039,-0.000362106,0.000424696,-8.25e-05,0.00032699,-0.000226079,0.000409206,-0.000333156,0.000179498,-7.32e-05,0.000126253,6.17e-05,0.000136846,-1.04e-05,0.000276901,-0.000392476,0.000288749,-7.3e-05,0.000114405,-0.000156577,0.000118244,0.000522956,0.000315152,0.000170654,0.000380322,0.000672852,0.000406064,Incongruent,Participant 1,0.000189496,0.000217114,-5.55e-05,0.000200495,-4.26e-05,0.00022234,0.000183601,0.000318439,-0.00151521,0.000866711,3.75e-05,0.000234054,0.00013026,0.000152049,8.02e-05,0.000353519,-1.88e-05,0.000295152,0.000156917,0.00038445,0.000452769,0.000184596,0.000163806,0.000189345,3.41e-05,0.000213539,0.000133309,0.000241136,0.000455574,0.000339084,3.43e-05,0.00013796,0.000134003,0.000142953,-0.000297911,0.000321805,1.7e-06,0.000367212,-0.000576512,0.00041256,1,Mid
-5.02e-05,9.28e-05,-0.000157449,0.000111868,-0.00015258,0.000100289,-7.97e-05,7.57e-05,-4.48e-05,5.9e-05,-5.69e-05,0.00040669,-0.000634686,0.000363181,-0.00015858,0.0005168,-0.000536304,0.000516194,-0.000635763,0.000835209,0.000437297,0.000643784,-0.000210343,0.000499402,-0.000236,0.000514888,0.00168698,0.001829088,-0.000361127,0.000497289,0.00042897,0.001679262,-0.000872317,0.001306835,-0.000640968,0.001189216,-0.001289252,0.001160659,-0.000431732,0.000898263,Incongruent,Participant 2,-0.000233963,0.000186989,-0.00010435,0.000135364,-0.000189559,0.000209794,-0.000314416,0.00021352,-0.000329949,0.000208013,-0.000290955,0.000458402,0.000454153,0.000520101,-0.000386019,0.000666647,0.000133852,0.00056674,0.000217023,0.000879831,-0.000751748,0.000625022,-0.000189124,0.000549159,-0.000162248,0.000564033,-0.001951227,0.002277323,-8.08e-05,0.000503158,-0.000591237,0.001306677,0.00054447,0.000959507,0.000450475,0.000896157,0.000856546,0.000955073,0.000199251,0.000814141,2,High
0.000107098,5.75e-05,0.000137038,8.82e-05,0.000306225,0.000164111,0.000258709,9.14e-05,0.000197801,8.27e-05,7.9e-05,0.000324799,0.000243999,0.00015657,-7.33e-05,0.000259362,-0.000960565,0.000558839,-0.001721629,0.00066072,7.08e-05,0.000113191,0.000116797,8.98e-05,0.000176867,0.000277822,0.000423613,0.000195752,0.000425651,0.000288478,-0.000366565,0.0003803,-0.002920274,0.001249013,0.001263204,0.001013371,7.73e-05,5.13e-05,5.81e-05,4.7e-05,Incongruent,Participant 3,2.92e-05,0.000112852,-7.08e-05,0.000192724,-0.000124417,0.000108654,-0.000195049,0.00010165,-0.000105489,9.76e-05,-3.48e-05,0.000361361,-0.000305635,0.000189159,2.98e-05,0.000276127,0.001083737,0.000648344,0.002005996,0.000804446,-6.15e-05,9e-05,-0.000120705,0.000163271,-0.000168357,0.000120124,-0.000477343,0.000164091,-0.000528117,0.000237449,0.00056386,0.000498004,0.003865787,0.001648466,-0.00124677,0.000871056,-0.00036861,0.000117603,-0.000254913,8.15e-05,1,Mid
-0.001730483,0.003278227,-0.001091253,0.000937445,-0.000744374,0.000848719,-0.000548733,0.000718657,-0.002350916,0.001427534,0.001608294,0.000951246,0.000776086,0.00064954,0.000597684,0.00060873,0.000349483,0.000589657,0.000309929,0.000626215,-1.15e-05,0.000470909,0.00020344,0.000328642,-7.8e-05,0.000235364,0.000328689,0.000467608,-2.79e-05,0.000412439,0.000695644,0.002397075,-0.002641286,0.002692021,8.76e-05,0.001556095,-0.002817411,0.003319071,0.00416288,0.001936914,Incongruent,Participant 4,0.002224594,0.003411735,0.001904981,0.001089063,0.001259234,0.00089312,0.000746541,0.000757856,0.002749772,0.001587759,-0.000859319,0.000710967,-0.000220583,0.000527924,-0.00023249,0.000547878,-9.26e-06,0.000629079,-6.82e-05,0.000607712,0.001023538,0.000478862,0.000424193,0.000355106,0.000565107,0.000318493,0.000790416,0.000378681,0.001261372,0.00063465,0.000520379,0.002939184,0.003548981,0.003075975,0.000921646,0.001864163,0.003089718,0.003934869,-0.002529342,0.001783448,2,High
0.000483225,0.000436618,0.000452782,0.000465485,0.000409628,0.000371729,0.000461656,0.000365151,0.000589125,0.000406774,0.000452041,0.000447036,0.000729097,0.000352397,0.000381475,0.000350934,0.000547338,0.000388464,0.00133996,0.000668798,-1.86e-05,0.000253776,5.53e-05,0.000165159,0.000172313,0.000284987,0.000164008,0.000258917,-8.56e-05,0.000137736,0.000338605,0.000705672,0.001310353,0.000381371,0.000440296,0.000338618,9.68e-05,0.000119358,3.27e-05,6.09e-05,Incongruent,Participant 5,-0.00057995,0.000478912,-0.000604299,0.000400484,-0.000469792,0.000362571,-0.000448043,0.000372624,-0.000584706,0.000411142,-0.000345088,0.000535671,-0.000634967,0.000346687,-0.000350581,0.000355689,-0.000448907,0.000442627,-0.001555118,0.000855275,-6.9e-05,0.000280735,-0.000150686,0.000311136,-1e-05,0.000262377,-5.71e-05,0.000243526,7.25e-05,0.000244643,-0.000169543,0.000530836,-0.000616455,0.000248176,4.69e-05,0.000162537,0.000319982,0.000256563,7.36e-05,0.000173384,1,Mid
0.000312239,0.000154297,0.000306344,0.000134179,0.000208024,0.000125916,4.51e-05,0.000153011,0.000229567,0.000222301,0.000203243,0.000280541,0.000182266,0.000189303,0.000431853,0.000223783,0.000347548,0.000222777,8.46e-05,0.000189127,-0.000419267,0.000253866,-9.2e-05,0.000184613,-0.000300923,0.000180822,-0.000153811,0.000171104,-0.000276306,0.000197238,9.06e-05,0.000111323,0.000184509,8.58e-05,6.96e-05,0.000133117,0.000151384,0.000213255,-0.000423677,0.000179504,Incongruent,Participant 6,-0.000216724,0.000151673,-0.00014927,0.000116987,-8.72e-05,0.000119221,3.8e-05,0.000136551,-1.36e-05,0.000215688,-6.61e-05,0.000318694,-0.00011815,0.000217795,-0.000390187,0.000257252,-0.00024586,0.000260613,-1.32e-05,0.000212116,0.000535598,0.000324731,0.00015356,0.000236099,0.000374208,0.000239514,0.000186706,0.000216492,0.000352259,0.000253336,-8.92e-05,0.000134635,-0.000130589,9.83e-05,1.8e-05,0.000139127,0.000238416,0.000210904,0.000632448,0.000268512,1,Mid
0.000340203,0.00011502,0.00036809,0.000114726,0.000319995,9.85e-05,0.000318807,0.000128844,0.000255384,0.000108123,0.000445068,0.000748476,0.00070406,0.000490988,-3.33e-05,0.000888066,-0.00042553,0.001531921,0.000231779,0.002224512,-0.000209288,0.000201568,-0.000271944,0.000277103,-0.000344893,0.000307394,-0.00036974,0.000268121,-0.000196582,0.000158677,-0.000615424,0.000309121,-0.000354218,0.000189162,-0.000168779,0.000178246,-0.000221675,0.000166911,-0.000381104,0.000212141,Incongruent,Participant 7,-0.000173003,0.000158085,-5.29e-05,0.000126912,-0.000108007,9.73e-05,-0.000120875,0.000111773,-0.000125809,0.000106726,-0.000316512,0.000942697,-0.000576894,0.000592781,6.62e-05,0.001174008,0.000586167,0.002025222,-0.000247883,0.002937937,0.000285842,0.00021306,0.000377861,0.00030008,0.000494735,0.000339672,0.000450425,0.000264625,0.000304364,0.000194774,0.000507377,0.00028861,0.000168113,0.000215073,-1.16e-05,0.000228349,4.53e-05,0.000198571,0.000293418,0.000230121,0,Low
-9.42e-05,0.000118073,8.99e-06,0.000119868,-1.11e-05,0.000121371,-6.06e-05,7.57e-05,-0.000156015,0.000101313,-0.000245555,0.000777904,0.000218223,0.000419944,0.000189944,0.000547803,0.00150217,0.00094874,0.000900315,0.000775492,-0.000479574,0.001931906,0.001315971,0.001042512,8.41e-05,0.000875861,0.000567457,0.000849246,0.002000798,0.00120746,3.41e-06,6.14e-05,-0.000972972,0.002368012,-0.000244556,0.002793169,0.001623207,0.002523181,-6.91e-06,4.96e-05,Incongruent,Participant 8,0.000247133,0.000156718,9.47e-05,0.000134994,0.000134291,0.000129486,6.54e-05,8.85e-05,0.000131143,0.000111818,0.000215721,0.000921842,-0.000233818,0.000494327,2.86e-05,0.000644495,-0.001215117,0.000968269,-0.000537498,0.00093895,0.000541819,0.002825832,-0.001493845,0.001288766,3.98e-05,0.001112889,-0.000648637,0.001080013,-0.002493205,0.001611034,-0.000109993,7.96e-05,-0.000391655,0.001754567,-0.000812383,0.002802063,-0.003176926,0.002851606,1.21e-05,5.4e-05,2,High
0.000218012,0.000103017,0.000274911,0.000128145,0.000197192,0.000114875,0.00040733,0.000204254,0.000104603,7.37e-05,-0.000169937,0.000349466,0.000142053,0.000206378,0.000170057,0.000357224,0.000210473,0.000202282,-0.000255837,0.000665596,-0.000892823,0.00086614,-0.000273507,0.000641535,-1.25e-05,0.000831041,-0.0001585,0.000640931,-0.000112914,0.000384919,-4.22e-07,9.17e-05,-2.03e-05,0.000117621,0.000151688,0.000168747,-0.000125052,0.000192759,1.05e-05,0.000113311,Incongruent,Participant 9,0.000734027,0.00037414,0.001168041,0.000516198,0.001102484,0.000457975,0.000671432,0.00026461,0.000238111,0.000150451,0.000195829,0.000430673,-7.69e-05,0.000240124,-0.000140424,0.000408264,-0.000257512,0.00022655,0.000151749,0.000747811,0.001089144,0.001065885,0.000429273,0.000824832,7.2e-05,0.001048509,0.00029456,0.000813559,8.67e-05,0.00049648,-0.000115644,0.000183645,1.09e-05,0.000135359,-0.000159407,0.000203028,5.81e-05,0.000211247,0.001217552,0.000531397,1,Mid
8.84e-05,0.000181848,-9.72e-05,0.000184679,3.14e-05,0.000111353,0.000120265,4.96e-05,-2.6e-05,5.18e-05,-4.89e-05,0.000545168,-0.000875804,0.000738106,-0.000533233,0.000586392,0.002101867,0.001880858,0.00183603,0.001877769,-0.000194854,0.000239134,-0.000562773,0.00049789,-7.93e-05,0.000242726,1.61e-05,0.000225756,1.99e-05,0.000214994,-0.000591061,0.000170896,-0.001065981,0.000282704,-0.000316381,0.000233055,-4.31e-05,0.000184048,-0.000171156,0.000199445,Incongruent,Participant 10,0.000146127,7.91e-05,0.000238301,0.00020309,7.84e-05,9.08e-05,-0.000136157,8.61e-05,-2.08e-05,6.85e-05,-8.58e-05,0.00068058,0.000844461,0.000860974,0.0003896,0.000709567,-0.002850676,0.00245837,-0.002373118,0.002448152,0.000350934,0.000317877,0.000726407,0.00082621,0.000486898,0.000574598,8.78e-05,0.000298972,8.09e-05,0.000259353,0.000605479,0.000191309,0.000919333,0.000208898,0.000276397,0.000231409,0.000128951,0.000169203,0.000306995,0.000263764,0,Low
